techs,carriers,systemwide_capacity_factor
battery_CZ,uranium,0.0
battery_ESP,coal,0.0
battery_ESP,electricity,0.46460142753314687
battery_ESP,natural_gas,0.0
battery_ESP,oil,0.0
battery_ESP,uranium,0.0
battery_HU,coal,0.0
battery_HU,electricity,0.43814107215815906
battery_HU,natural_gas,0.0
battery_HU,oil,0.0
battery_HU,uranium,0.0
battery_PL,coal,0.0
battery_PL,electricity,0.43814569442844326
battery_PL,natural_gas,0.0
battery_PL,oil,0.0
battery_PL,uranium,0.0
battery_US,coal,0.0
battery_US,electricity,0.43666218085356007
battery_US,natural_gas,0.0
battery_US,oil,0.0
battery_US,uranium,0.0
biogas_to_electricity_supply_BEL,coal,0.0
biogas_to_electricity_supply_BEL,electricity,0.7564693666828057
biogas_to_electricity_supply_BEL,natural_gas,0.0
biogas_to_electricity_supply_BEL,oil,0.0
biogas_to_electricity_supply_BEL,uranium,0.0
biogas_to_electricity_supply_CAN,coal,0.0
biogas_to_electricity_supply_CAN,electricity,0.5208010083043411
biogas_to_electricity_supply_CAN,natural_gas,0.0
biogas_to_electricity_supply_CAN,oil,0.0
biogas_to_electricity_supply_CAN,uranium,0.0
biogas_to_electricity_supply_FR,coal,0.0
biogas_to_electricity_supply_FR,electricity,0.5174927326693475
biogas_to_electricity_supply_FR,natural_gas,0.0
biogas_to_electricity_supply_FR,oil,0.0
biogas_to_electricity_supply_FR,uranium,0.0
biogas_to_electricity_supply_FSM,coal,0.0
biogas_to_electricity_supply_FSM,electricity,0.5361727509238984
biogas_to_electricity_supply_FSM,natural_gas,0.0
biogas_to_electricity_supply_FSM,oil,0.0
biogas_to_electricity_supply_FSM,uranium,0.0
biogas_to_electricity_supply_UK,coal,0.0
biogas_to_electricity_supply_UK,electricity,0.5252792494992057
biogas_to_electricity_supply_UK,natural_gas,0.0
biogas_to_electricity_supply_UK,oil,0.0
biogas_to_electricity_supply_UK,uranium,0.0
biogas_to_electricity_supply_USA,coal,0.0
biogas_to_electricity_supply_USA,electricity,0.535139855938969
biogas_to_electricity_supply_USA,natural_gas,0.0
biogas_to_electricity_supply_USA,oil,0.0
biogas_to_electricity_supply_USA,uranium,0.0
biomass_ESP,coal,0.0
biomass_ESP,electricity,0.6526277168066652
biomass_ESP,natural_gas,0.0
biomass_ESP,oil,0.0
biomass_ESP,uranium,0.0
biomass_FR,coal,0.0
biomass_FR,electricity,0.665846285392825
biomass_FR,natural_gas,0.0
biomass_FR,oil,0.0
biomass_FR,uranium,0.0
biomass_IT,coal,0.0
biomass_IT,electricity,0.634454824709655
biomass_IT,natural_gas,0.0
biomass_IT,oil,0.0
biomass_IT,uranium,0.0
coal_AUS,coal,0.8734345927880717
coal_AUS,electricity,0.0
coal_AUS,natural_gas,0.0
