techs,costs,carriers,systemwide_levelised_cost
wind_onshore_monopoly_CN,vul,electricity,5.2537151591213415e-06
wind_onshore_monopoly_DE,co2,electricity,3.3210108229935287
wind_onshore_monopoly_DE,monetary,electricity,14.508992113392855
wind_onshore_monopoly_DE,vul,electricity,4.077745820020794e-06
wind_onshore_monopoly_ESP,co2,electricity,1.2795237147444065
wind_onshore_monopoly_ESP,monetary,electricity,13.806092615667984
wind_onshore_monopoly_ESP,vul,electricity,4.305584117166003e-06
wind_onshore_monopoly_FR,co2,electricity,2.5030944928651033
wind_onshore_monopoly_FR,monetary,electricity,14.22589864660085
wind_onshore_monopoly_FR,vul,electricity,5.414357723155876e-07
wind_onshore_monopoly_IND,co2,electricity,9.829425696936516
wind_onshore_monopoly_IND,monetary,electricity,16.548703262248733
wind_onshore_monopoly_IND,vul,electricity,4.14889038840869e-06
wind_onshore_monopoly_NDL,co2,electricity,7.210124371294788
wind_onshore_monopoly_NDL,monetary,electricity,24.29312567516386
wind_onshore_monopoly_NDL,vul,electricity,5.692827792456252e-07
wind_onshore_monopoly_PT,co2,electricity,2.2696390637624053
wind_onshore_monopoly_PT,monetary,electricity,14.153021036320672
wind_onshore_monopoly_PT,vul,electricity,1.893876894626758e-06
