nodes,techs,carriers,definition_matrix
ESP_1,Trade_Markets_ESP_11_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_11_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_11_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_11_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_11_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_11_oil_fuel_transmission,coal,False
ESP_1,Trade_Markets_ESP_11_oil_fuel_transmission,electricity,False
ESP_1,Trade_Markets_ESP_11_oil_fuel_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_11_oil_fuel_transmission,oil,False
ESP_1,Trade_Markets_ESP_11_oil_fuel_transmission,uranium,False
ESP_1,Trade_Markets_ESP_11_uranium_transmission,coal,False
ESP_1,Trade_Markets_ESP_11_uranium_transmission,electricity,False
ESP_1,Trade_Markets_ESP_11_uranium_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_11_uranium_transmission,oil,False
ESP_1,Trade_Markets_ESP_11_uranium_transmission,uranium,False
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,True
ESP_1,Trade_Markets_ESP_1_coal_transmission,electricity,False
ESP_1,Trade_Markets_ESP_1_coal_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_1_coal_transmission,oil,False
ESP_1,Trade_Markets_ESP_1_coal_transmission,uranium,False
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,True
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_2_coal_transmission,coal,False
ESP_1,Trade_Markets_ESP_2_coal_transmission,electricity,False
ESP_1,Trade_Markets_ESP_2_coal_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_2_coal_transmission,oil,False
ESP_1,Trade_Markets_ESP_2_coal_transmission,uranium,False
ESP_1,Trade_Markets_ESP_2_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_2_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_2_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_2_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_2_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_2_oil_fuel_transmission,coal,False
ESP_1,Trade_Markets_ESP_2_oil_fuel_transmission,electricity,False
ESP_1,Trade_Markets_ESP_2_oil_fuel_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_2_oil_fuel_transmission,oil,False
ESP_1,Trade_Markets_ESP_2_oil_fuel_transmission,uranium,False
ESP_1,Trade_Markets_ESP_2_uranium_transmission,coal,False
ESP_1,Trade_Markets_ESP_2_uranium_transmission,electricity,False
ESP_1,Trade_Markets_ESP_2_uranium_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_2_uranium_transmission,oil,False
ESP_1,Trade_Markets_ESP_2_uranium_transmission,uranium,False
ESP_1,Trade_Markets_ESP_3_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_3_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_3_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_3_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_3_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_4_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_4_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_4_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_4_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_4_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_5_coal_transmission,coal,False
ESP_1,Trade_Markets_ESP_5_coal_transmission,electricity,False
ESP_1,Trade_Markets_ESP_5_coal_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_5_coal_transmission,oil,False
ESP_1,Trade_Markets_ESP_5_coal_transmission,uranium,False
ESP_1,Trade_Markets_ESP_5_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_5_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_5_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_5_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_5_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_6_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_6_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_6_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_6_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_6_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_6_oil_fuel_transmission,coal,False
ESP_1,Trade_Markets_ESP_6_oil_fuel_transmission,electricity,False
ESP_1,Trade_Markets_ESP_6_oil_fuel_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_6_oil_fuel_transmission,oil,False
ESP_1,Trade_Markets_ESP_6_oil_fuel_transmission,uranium,False
ESP_1,Trade_Markets_ESP_6_uranium_transmission,coal,False
ESP_1,Trade_Markets_ESP_6_uranium_transmission,electricity,False
ESP_1,Trade_Markets_ESP_6_uranium_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_6_uranium_transmission,oil,False
ESP_1,Trade_Markets_ESP_6_uranium_transmission,uranium,False
ESP_1,Trade_Markets_ESP_7_coal_transmission,coal,False
ESP_1,Trade_Markets_ESP_7_coal_transmission,electricity,False
ESP_1,Trade_Markets_ESP_7_coal_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_7_coal_transmission,oil,False
ESP_1,Trade_Markets_ESP_7_coal_transmission,uranium,False
ESP_1,Trade_Markets_ESP_7_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_7_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_7_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_7_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_7_natural_gas_transmission,uranium,False
ESP_1,Trade_Markets_ESP_7_uranium_transmission,coal,False
ESP_1,Trade_Markets_ESP_7_uranium_transmission,electricity,False
ESP_1,Trade_Markets_ESP_7_uranium_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_7_uranium_transmission,oil,False
ESP_1,Trade_Markets_ESP_7_uranium_transmission,uranium,False
ESP_1,Trade_Markets_ESP_8_uranium_transmission,coal,False
ESP_1,Trade_Markets_ESP_8_uranium_transmission,electricity,False
ESP_1,Trade_Markets_ESP_8_uranium_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_8_uranium_transmission,oil,False
ESP_1,Trade_Markets_ESP_8_uranium_transmission,uranium,False
ESP_1,Trade_Markets_ESP_9_coal_transmission,coal,False
ESP_1,Trade_Markets_ESP_9_coal_transmission,electricity,False
ESP_1,Trade_Markets_ESP_9_coal_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_9_coal_transmission,oil,False
ESP_1,Trade_Markets_ESP_9_coal_transmission,uranium,False
ESP_1,Trade_Markets_ESP_9_natural_gas_transmission,coal,False
ESP_1,Trade_Markets_ESP_9_natural_gas_transmission,electricity,False
ESP_1,Trade_Markets_ESP_9_natural_gas_transmission,natural_gas,False
ESP_1,Trade_Markets_ESP_9_natural_gas_transmission,oil,False
ESP_1,Trade_Markets_ESP_9_natural_gas_transmission,uranium,False
ESP_1,battery_CN,coal,False
ESP_1,battery_CN,electricity,True
ESP_1,battery_CN,natural_gas,False
ESP_1,battery_CN,oil,False
ESP_1,battery_CN,uranium,False
ESP_1,battery_CZ,coal,False
ESP_1,battery_CZ,electricity,True
ESP_1,battery_CZ,natural_gas,False
ESP_1,battery_CZ,oil,False
ESP_1,battery_CZ,uranium,False
ESP_1,battery_ESP,coal,False
ESP_1,battery_ESP,electricity,True
ESP_1,battery_ESP,natural_gas,False
ESP_1,battery_ESP,oil,False
ESP_1,battery_ESP,uranium,False
ESP_1,battery_HU,coal,False
ESP_1,battery_HU,electricity,True
ESP_1,battery_HU,natural_gas,False
ESP_1,battery_HU,oil,False
ESP_1,battery_HU,uranium,False
ESP_1,battery_PL,coal,False
ESP_1,battery_PL,electricity,True
ESP_1,battery_PL,natural_gas,False
ESP_1,battery_PL,oil,False
ESP_1,battery_PL,uranium,False
ESP_1,battery_US,coal,False
ESP_1,battery_US,electricity,True
ESP_1,battery_US,natural_gas,False
ESP_1,battery_US,oil,False
ESP_1,battery_US,uranium,False
ESP_1,biogas_to_electricity_supply_BEL,coal,False
ESP_1,biogas_to_electricity_supply_BEL,electricity,True
ESP_1,biogas_to_electricity_supply_BEL,natural_gas,False
ESP_1,biogas_to_electricity_supply_BEL,oil,False
ESP_1,biogas_to_electricity_supply_BEL,uranium,False
ESP_1,biogas_to_electricity_supply_CAN,coal,False
