nodes,techs,carriers,timesteps,flow_in
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-02 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-02 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-02 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-02 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-03 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-03 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-03 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-03 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-03 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_natural_gas_transmission,natural_gas,2018-01-03 15:00:00,0.0
