nodes,techs,timesteps,source_use
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 06:00:00,1.367290647121022e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 09:00:00,1.584239461379762e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 12:00:00,1.3665969949814614e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 15:00:00,1.366979269700942e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 18:00:00,1.5252477166218883e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-05 21:00:00,1.5677340336506623e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 00:00:00,1.571964924801307e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 03:00:00,1.5703412454556584e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 06:00:00,1.574273072826924e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 09:00:00,1.5686179575147414e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 12:00:00,1.5616182996655176e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 15:00:00,1.5925638152799426e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 18:00:00,1.5259556326429013e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-06 21:00:00,1.5902376212656507e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 00:00:00,1.3665221456412121e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 03:00:00,1.3665075407758964e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 06:00:00,1.3662066662160688e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 09:00:00,1.3660147107155856e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 12:00:00,1.365797160562986e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 15:00:00,1.3648977699199313e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 18:00:00,1.3637950136965702e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-07 21:00:00,1.5722329569315982e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 00:00:00,1.5890707270804452e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 03:00:00,1.5696263000816462e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 06:00:00,1.5750170790036719e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 09:00:00,1.5743930452913584e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 12:00:00,1.5739719650052782e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 15:00:00,1.5743722284522662e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 18:00:00,1.5636784255946611e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-08 21:00:00,1.5667936683264976e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 00:00:00,1.3654301574732743e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 03:00:00,1.3665341663772575e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 06:00:00,1.367539241166483e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 09:00:00,1.3682638252752248e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 12:00:00,1.368465641511706e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 15:00:00,1.3683900968499188e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 18:00:00,1.5755982618471576e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-09 21:00:00,1.549780585982809e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 00:00:00,1.3681317003634202e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 03:00:00,1.3685954645523675e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 06:00:00,1.3690375197889644e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 09:00:00,1.3698694601189077e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 12:00:00,1.3700855027319042e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 15:00:00,1.3703788248555955e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 18:00:00,1.3700980565214953e-06
ESP_1,biogas_to_electricity_supply_CAN,2018-01-10 21:00:00,1.3703272506789467e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 00:00:00,1.1782486356348401e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 03:00:00,1.1783256589854296e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 06:00:00,1.1782286663119508e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 09:00:00,1.178313297778384e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 12:00:00,1.1783874055524708e-06
ESP_1,biogas_to_electricity_supply_FR,2018-01-01 15:00:00,1.178355634772296e-06
