nodes,techs,carriers,timesteps,flow_in_inc_eff
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 15:00:00,0.35999940790707485
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 18:00:00,9.817565378150585e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-05 21:00:00,6.726676509872007e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 00:00:00,6.373779184539725e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 03:00:00,6.393717734967123e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 06:00:00,6.672383190588331e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 09:00:00,6.583684205276042e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 12:00:00,8.075446253770563e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 15:00:00,9.414574744915826e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 18:00:00,9.729134167966458e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-06 21:00:00,9.090033431342966e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 00:00:00,15.91116088896414
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 03:00:00,14.162089559918844
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 06:00:00,14.975071501472591
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 09:00:00,15.196851151892943
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 12:00:00,12.437253039668736
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 15:00:00,15.687159618610238
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 18:00:00,0.16322989489692125
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-07 21:00:00,1.1159693900469625e-05
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 00:00:00,6.4413686884176455e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 03:00:00,6.614983731314481e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 06:00:00,7.922363457246382e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 09:00:00,7.408262804657857e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 12:00:00,7.458011644902435e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 15:00:00,7.417650165128233e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 18:00:00,8.032311849343983e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-08 21:00:00,1.3376987518066311e-05
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 00:00:00,16.417498747613436
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 03:00:00,15.45656268000208
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 06:00:00,15.481857170972596
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 09:00:00,13.552791095260226
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 12:00:00,15.85682164312891
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 15:00:00,16.381834877738317
