techs,carriers,systemwide_capacity_factor
Trade_Markets_ESP_6_oil_fuel_transmission,electricity,0.0
Trade_Markets_ESP_6_oil_fuel_transmission,natural_gas,0.0
Trade_Markets_ESP_6_oil_fuel_transmission,oil,0.3369579471943197
Trade_Markets_ESP_6_oil_fuel_transmission,uranium,0.0
Trade_Markets_ESP_6_uranium_transmission,coal,0.0
Trade_Markets_ESP_6_uranium_transmission,electricity,0.0
Trade_Markets_ESP_6_uranium_transmission,natural_gas,0.0
Trade_Markets_ESP_6_uranium_transmission,oil,0.0
Trade_Markets_ESP_6_uranium_transmission,uranium,0.4787029700253121
Trade_Markets_ESP_7_coal_transmission,coal,0.0
Trade_Markets_ESP_7_coal_transmission,electricity,0.0
Trade_Markets_ESP_7_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_7_coal_transmission,oil,0.0
Trade_Markets_ESP_7_coal_transmission,uranium,0.0
Trade_Markets_ESP_7_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_7_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_7_natural_gas_transmission,natural_gas,0.1382082027450752
Trade_Markets_ESP_7_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_7_natural_gas_transmission,uranium,0.0
Trade_Markets_ESP_7_uranium_transmission,coal,0.0
Trade_Markets_ESP_7_uranium_transmission,electricity,0.0
Trade_Markets_ESP_7_uranium_transmission,natural_gas,0.0
Trade_Markets_ESP_7_uranium_transmission,oil,0.0
Trade_Markets_ESP_7_uranium_transmission,uranium,0.0
Trade_Markets_ESP_8_uranium_transmission,coal,0.0
Trade_Markets_ESP_8_uranium_transmission,electricity,0.0
Trade_Markets_ESP_8_uranium_transmission,natural_gas,0.0
Trade_Markets_ESP_8_uranium_transmission,oil,0.0
Trade_Markets_ESP_8_uranium_transmission,uranium,0.42194744095288994
Trade_Markets_ESP_9_coal_transmission,coal,0.24562912767893297
Trade_Markets_ESP_9_coal_transmission,electricity,0.0
Trade_Markets_ESP_9_coal_transmission,natural_gas,0.0
Trade_Markets_ESP_9_coal_transmission,oil,0.0
Trade_Markets_ESP_9_coal_transmission,uranium,0.0
Trade_Markets_ESP_9_natural_gas_transmission,coal,0.0
Trade_Markets_ESP_9_natural_gas_transmission,electricity,0.0
Trade_Markets_ESP_9_natural_gas_transmission,natural_gas,0.01226127485959299
Trade_Markets_ESP_9_natural_gas_transmission,oil,0.0
Trade_Markets_ESP_9_natural_gas_transmission,uranium,0.0
battery_CN,coal,0.0
battery_CN,electricity,0.39737777218148923
battery_CN,natural_gas,0.0
battery_CN,oil,0.0
battery_CN,uranium,0.0
battery_CZ,coal,0.0
battery_CZ,electricity,0.41469014648582236
battery_CZ,natural_gas,0.0
battery_CZ,oil,0.0
battery_CZ,uranium,0.0
battery_ESP,coal,0.0
battery_ESP,electricity,0.4040200961344036
battery_ESP,natural_gas,0.0
battery_ESP,oil,0.0
battery_ESP,uranium,0.0
battery_HU,coal,0.0
battery_HU,electricity,0.4236624636034473
battery_HU,natural_gas,0.0
battery_HU,oil,0.0
battery_HU,uranium,0.0
battery_PL,coal,0.0
battery_PL,electricity,0.41622790956898664
battery_PL,natural_gas,0.0
battery_PL,oil,0.0
battery_PL,uranium,0.0
battery_US,coal,0.0
battery_US,electricity,0.40444470445224345
battery_US,natural_gas,0.0
battery_US,oil,0.0
battery_US,uranium,0.0
biogas_to_electricity_supply_BEL,coal,0.0
biogas_to_electricity_supply_BEL,electricity,0.7286796977239586
biogas_to_electricity_supply_BEL,natural_gas,0.0
biogas_to_electricity_supply_BEL,oil,0.0
biogas_to_electricity_supply_BEL,uranium,0.0
biogas_to_electricity_supply_CAN,coal,0.0
biogas_to_electricity_supply_CAN,electricity,0.5320400337351419
biogas_to_electricity_supply_CAN,natural_gas,0.0
biogas_to_electricity_supply_CAN,oil,0.0
biogas_to_electricity_supply_CAN,uranium,0.0
biogas_to_electricity_supply_FR,coal,0.0
biogas_to_electricity_supply_FR,electricity,0.5293639093617116
biogas_to_electricity_supply_FR,natural_gas,0.0
biogas_to_electricity_supply_FR,oil,0.0
biogas_to_electricity_supply_FR,uranium,0.0
biogas_to_electricity_supply_FSM,coal,0.0
biogas_to_electricity_supply_FSM,electricity,0.5448764219028635
biogas_to_electricity_supply_FSM,natural_gas,0.0
biogas_to_electricity_supply_FSM,oil,0.0
biogas_to_electricity_supply_FSM,uranium,0.0
biogas_to_electricity_supply_UK,coal,0.0
biogas_to_electricity_supply_UK,electricity,0.5364462007154611
biogas_to_electricity_supply_UK,natural_gas,0.0
biogas_to_electricity_supply_UK,oil,0.0
biogas_to_electricity_supply_UK,uranium,0.0
biogas_to_electricity_supply_USA,coal,0.0
biogas_to_electricity_supply_USA,electricity,0.5446375427681559
biogas_to_electricity_supply_USA,natural_gas,0.0
biogas_to_electricity_supply_USA,oil,0.0
biogas_to_electricity_supply_USA,uranium,0.0
biomass_ESP,coal,0.0
biomass_ESP,electricity,0.6610801264408569
biomass_ESP,natural_gas,0.0
biomass_ESP,oil,0.0
biomass_ESP,uranium,0.0
biomass_FR,coal,0.0
biomass_FR,electricity,0.6610999207920146
biomass_FR,natural_gas,0.0
biomass_FR,oil,0.0
biomass_FR,uranium,0.0
biomass_IT,coal,0.0
biomass_IT,electricity,0.6609710199951044
biomass_IT,natural_gas,0.0
biomass_IT,oil,0.0
biomass_IT,uranium,0.0
coal_AUS,coal,0.0
coal_AUS,electricity,0.0
coal_AUS,natural_gas,0.0
coal_AUS,oil,0.0
coal_AUS,uranium,0.0
coal_COL,coal,0.704575365925679
coal_COL,electricity,0.0
coal_COL,natural_gas,0.0
coal_COL,oil,0.0
coal_COL,uranium,0.0
coal_ITA,coal,0.0
coal_ITA,electricity,0.0
coal_ITA,natural_gas,0.0
coal_ITA,oil,0.0
coal_ITA,uranium,0.0
coal_RUS,coal,0.0
coal_RUS,electricity,0.0
coal_RUS,natural_gas,0.0
coal_RUS,oil,0.0
coal_RUS,uranium,0.0
coal_USA,coal,0.0
coal_USA,electricity,0.0
coal_USA,natural_gas,0.0
coal_USA,oil,0.0
coal_USA,uranium,0.0
demand_tech,coal,0.0
demand_tech,electricity,0.0
demand_tech,natural_gas,0.0
demand_tech,oil,0.0
demand_tech,uranium,0.0
el_import_FR,coal,0.0
el_import_FR,electricity,0.3096622271530889
el_import_FR,natural_gas,0.0
el_import_FR,oil,0.0
el_import_FR,uranium,0.0
el_import_MA,coal,0.0
el_import_MA,electricity,0.0
el_import_MA,natural_gas,0.0
el_import_MA,oil,0.0
el_import_MA,uranium,0.0
el_import_PT,coal,0.0
el_import_PT,electricity,0.9754994340765489
el_import_PT,natural_gas,0.0
el_import_PT,oil,0.0
el_import_PT,uranium,0.0
existing_biogas_to_electricity_supply,coal,0.0
existing_biogas_to_electricity_supply,electricity,0.9058345500521837
existing_biogas_to_electricity_supply,natural_gas,0.0
existing_biogas_to_electricity_supply,oil,0.0
existing_biogas_to_electricity_supply,uranium,0.0
existing_biomass,coal,0.0
existing_biomass,electricity,0.8638305467153576
existing_biomass,natural_gas,0.0
existing_biomass,oil,0.0
existing_biomass,uranium,0.0
existing_ccgt,coal,0.0
existing_ccgt,electricity,0.18693286530429148
existing_ccgt,natural_gas,0.0
existing_ccgt,oil,0.0
existing_ccgt,uranium,0.0
existing_chp,coal,0.0
existing_chp,electricity,0.0010020983782387373
existing_chp,natural_gas,0.0
existing_chp,oil,0.0
existing_chp,uranium,0.0
existing_coal,coal,0.0
existing_coal,electricity,0.18987434166448441
